iter	Passed	Remaining
566	3958	3022
567	3964	3015
568	3970	3007
569	3976	2999
570	3982	2992
571	3988	2984
572	3993	2976
573	3999	2968
574	4005	2960
575	4011	2952
576	4017	2945
577	4023	2937
578	4029	2929
579	4034	2921
580	4040	2914
581	4046	2906
582	4052	2898
583	4058	2891
584	4065	2883
585	4071	2876
586	4077	2868
587	4083	2861
588	4089	2853
589	4095	2845
590	4100	2837
591	4106	2830
592	4112	2822
593	4118	2814
594	4124	2807
595	4129	2799
596	4135	2791
597	4141	2784
598	4146	2776
599	4153	2768
600	4159	2761
601	4164	2753
602	4170	2745
603	4176	2738
604	4182	2730
605	4188	2723
606	4194	2715
607	4200	2707
608	4206	2700
609	4211	2692
610	4217	2685
611	4223	2677
612	4228	2669
613	4235	2662
614	4240	2654
615	4246	2646
616	4251	2639
617	4257	2631
618	4263	2623
619	4269	2616
620	4274	2609
621	4280	2601
622	4286	2593
623	4292	2586
624	4297	2578
625	4303	2571
626	4309	2563
627	4315	2556
628	4321	2549
629	4327	2541
630	4333	2534
631	4339	2526
632	4344	2519
633	4350	2511
634	4356	2504
635	4362	2496
636	4368	2489
637	4374	2481
638	4379	2474
639	4386	2467
640	4391	2459
641	4398	2452
642	4404	2445
643	4410	2437
644	4415	2430
645	4421	2422
646	4427	2415
647	4433	2408
648	4439	2400
649	4445	2393
650	4451	2386
651	4457	2379
652	4463	2371
653	4469	2364
654	4474	2356
655	4481	2349
656	4486	2342
657	4493	2335
658	4499	2328
659	4505	2320
660	4510	2313
661	4516	2306
662	4522	2298
663	4528	2291
664	4534	2284
665	4540	2277
666	4547	2270
667	4553	2263
668	4559	2255
669	4565	2248
670	4571	2241
671	4577	2234
672	4582	2226
673	4589	2219
674	4594	2212
675	4600	2205
676	4606	2197
677	4612	2190
678	4617	2183
679	4623	2175
680	4629	2168
681	4635	2161
682	4642	2154
683	4648	2147
684	4654	2140
685	4659	2132
686	4665	2125
687	4671	2118
688	4676	2110
689	4682	2103
690	4688	2096
691	4694	2089
692	4700	2082
693	4706	2075
694	4713	2068
695	4718	2061
696	4724	2053
697	4730	2046
698	4736	2039
699	4742	2032
700	4749	2025
701	4754	2018
702	4760	2011
703	4766	2004
704	4772	1996
705	4778	1989
706	4784	1982
707	4791	1975
708	4797	1968
709	4803	1961
710	4809	1954
711	4814	1947
712	4820	1940
713	4826	1933
714	4832	1926
715	4839	1919
716	4845	1912
717	4851	1905
718	4856	1898
719	4862	1891
720	4868	1884
721	4874	1876
722	4881	1870
723	4887	1863
724	4893	1856
725	4899	1849
726	4905	1841
727	4911	1834
728	4916	1827
729	4922	1820
730	4928	1813
731	4935	1806
732	4941	1799
733	4947	1792
734	4952	1785
735	4958	1778
736	4964	1771
737	4969	1764
738	4976	1757
739	4982	1750
740	4988	1743
741	4995	1737
742	5002	1730
743	5008	1723
744	5015	1716
745	5022	1709
746	5028	1703
747	5035	1696
748	5043	1690
749	5051	1683
750	5057	1676
751	5064	1670
752	5071	1663
753	5077	1656
754	5083	1649
755	5089	1642
756	5096	1636
757	5102	1629
758	5108	1621
759	5114	1614
760	5119	1607
761	5125	1600
762	5131	1593
763	5137	1587
764	5143	1580
765	5149	1572
766	5154	1565
767	5160	1558
768	5166	1551
769	5172	1544
770	5178	1538
771	5184	1531
